Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Epiglottitis,"Ceftriaxone (1 g IV), airway management, steroids (e.g., dexamethasone 10 mg).","Laryngoscopy, lateral neck Xray (thumb sign).","Sore throat, drooling, stridor, difficulty swallowing.","Ceftriaxone (1 g intravenous), airway management, steroids (e.g., dexamethasone 10 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Male Infertility,"Clomiphene (2550 mg daily), surgery for varicocele, IVF.","Semen analysis, hormone levels (FSH, testosterone).","Inability to conceive, low libido, abnormal semen.","Clomiphene (2550 milligrams daily), surgery for varicocele, intravenousF. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lactose Intolerance,"Lactase enzyme (9000 FCC units), dairy avoidance.","Hydrogen breath test, symptom history.","Bloating, diarrhea, gas after dairy consumption.","Lactase enzyme (9000 FCC units), dairy avoidance. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pink Eye (Conjunctivitis),"Erythromycin ointment (0.5% 4x daily), fluoroquinolone drops (e.g., moxifloxacin).","Clinical exam, culture if severe.","Red, itchy eyes, discharge, crusting.","Erythromycin ointment (0.5% 4 times a day), fluoroquinolone drops (e.g., moxifloxacin). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Irritable Bowel Syndrome (IBS),"Loperamide (24 mg), rifaximin (550 mg 3x daily), diet changes.","Rome IV criteria, rule out IBD.","Abdominal pain, bloating, diarrhea/constipation.","Loperamide (24 milligrams), rifaximin (550 milligrams 3 times a day), diet changes. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Alcohol Poisoning,"IV fluids, thiamine (100 mg IV), supportive care.","Blood alcohol level, clinical presentation.","Confusion, vomiting, slow breathing, hypothermia.","intravenous fluids, thiamine (100 milligrams intravenous), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dry Socket,"Eugenol dressing, ibuprofen (400800 mg), saline irrigation.","Clinical exam, history of tooth removal.","Severe pain postextraction, bad breath, empty socket.","Eugenol dressing, ibuprofen (400800 milligrams), saline irrigation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Prurigo Nodularis,"Triamcinolone cream (0.1%), gabapentin (300600 mg), phototherapy.","Clinical exam, biopsy if unclear.","Itchy, hard nodules on skin, scratching scars.","Triamcinolone cream (0.1%), gabapentin (300600 milligrams), phototherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Meningococcal Meningitis,"Ceftriaxone (2 g IV every 12 hours), rifampin (600 mg) for prophylaxis.","CSF culture, blood PCR for Neisseria meningitidis.","Fever, rash (petechial), neck stiffness, shock.","Ceftriaxone (2 g intravenous every 12 hours), rifampin (600 milligrams) for prophylaxis. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pulmonary Edema,"Furosemide (40 mg IV), oxygen, nitroglycerin (0.4 mg SL).","Chest Xray (interstitial markings), BNP levels.","Dyspnea, frothy sputum, cyanosis, wheezing.","Furosemide (40 milligrams intravenous), oxygen, nitroglycerin (0.4 milligrams SL). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Meningeal Leukemia,"Intrathecal methotrexate (12 mg), systemic chemo (e.g., cytarabine).","CSF cytology, MRI, history of leukemia.","Headache, nausea, cranial nerve palsies, fatigue.","Intrathecal methotrexate (12 milligrams), systemic chemo (e.g., cytarabine). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Pancreatic Cancer (Repeated earlier, alternate entry)","Whipple surgery, nabpaclitaxel (125 mg/m² IV), pain management.","Endoscopic ultrasound, ERCP, tumor markers.","Back pain, jaundice, diabetes onset, appetite loss.","Whipple surgery, nabpaclitaxel (125 milligrams/m² intravenous), pain management. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Prostate Cancer (Repeated earlier, alternate entry)","Radiation, bicalutamide (50 mg daily), enzalutamide (160 mg daily).","DRE, TRUS biopsy, bone scan.","Nocturia, weak urine stream, bone pain (late).","Radiation, bicalutamide (50 milligrams daily), enzalutamide (160 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Lung Cancer (Repeated earlier, alternate entry)","Pembrolizumab (200 mg IV every 3 weeks), cisplatin (80 mg/m²).","Bronchoscopy, PETCT, PDL1 testing.","Hoarseness, pleural effusion, clubbing, cough.","Pembrolizumab (200 milligrams intravenous every 3 weeks), cisplatin (80 milligrams/m²). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Colorectal Cancer (Repeated earlier, alternate entry)","Colectomy, capecitabine (1250 mg/m² twice daily), bevacizumab (5 mg/kg IV).","Fecal occult blood, sigmoidoscopy, MRI.","Fatigue, anemia, rectal bleeding, cramps.","Colectomy, capecitabine (1250 milligrams/m² twice daily), bevacizumab (5 milligrams/kg intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Depression (Repeated earlier, alternate entry)","Escitalopram (1020 mg daily), bupropion (150300 mg daily), therapy.","Beck Depression Inventory, clinical interview.","Anhedonia, weight changes, insomnia, guilt.","Escitalopram (1020 milligrams daily), bupropion (150300 milligrams daily), therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Syphilis,"Penicillin G (2.4 million units IM single dose), doxycycline (100 mg twice daily for 14 days).","RPR test, treponemal antibody test, darkfield microscopy.","Painless sore (chancre), rash, fever, swollen glands.","Penicillin G (2.4 million units IM single dose), doxycycline (100 milligrams twice daily for 14 days). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Anthrax,"Ciprofloxacin (400 mg IV every 12 hours), doxycycline (100 mg twice daily), antitoxin.","Blood culture, PCR, chest Xray.","Skin ulcers, fever, fatigue, respiratory distress (inhalation).","Ciprofloxacin (400 milligrams intravenous every 12 hours), doxycycline (100 milligrams twice daily), antitoxin. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Thyroid Cancer,"Thyroidectomy, levothyroxine (100200 mcg daily), radioactive iodine.","Ultrasound, fineneedle aspiration biopsy, TSH levels.","Neck lump, hoarseness, difficulty swallowing, fatigue.","Thyroidectomy, levothyroxine (100200 micrograms daily), radioactive iodine. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Athlete’s Foot,"Terbinafine cream (1% daily), clotrimazole (1% twice daily).","Clinical exam, KOH skin scraping.","Itchy, scaly rash between toes, burning, peeling skin.","Terbinafine cream (1% daily), clotrimazole (1% twice daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Trigeminal Neuralgia,"Carbamazepine (200400 mg twice daily), gabapentin (300600 mg), surgery (MVD).","Clinical history, MRI to rule out tumors.","Sudden facial pain, electricshock sensation, onesided.","Carbamazepine (200400 milligrams twice daily), gabapentin (300600 milligrams), surgery (MVD). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Multiple Myeloma,"Lenalidomide (25 mg daily), bortezomib (1.3 mg/m² IV), dexamethasone (40 mg).","Serum protein electrophoresis, bone marrow biopsy, Xrays.","Bone pain, fatigue, anemia, frequent infections.","Lenalidomide (25 milligrams daily), bortezomib (1.3 milligrams/m² intravenous), dexamethasone (40 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Food Allergy,"Epinephrine (0.3 mg IM), antihistamines (e.g., cetirizine 10 mg), avoidance.","Skin prick test, IgE blood test, food challenge.","Hives, swelling, abdominal pain, anaphylaxis risk.","Epinephrine (0.3 milligrams IM), antihistamines (e.g., cetirizine 10 milligrams), avoidance. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lyme Disease,"Doxycycline (100 mg twice daily for 1421 days), amoxicillin (500 mg 3x daily).","ELISA, Western blot, clinical history.","Bullseye rash, fever, joint pain, fatigue.","Doxycycline (100 milligrams twice daily for 1421 days), amoxicillin (500 milligrams 3 times a day). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Glaucoma,"Latanoprost (0.005% drops nightly), timolol (0.5% drops twice daily), surgery.","Tonometry (IOP >21 mmHg), optic nerve exam, visual field test.","Vision loss, eye pain, halos around lights, nausea.","Latanoprost (0.005% drops nightly), timolol (0.5% drops twice daily), surgery. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Yaws,"Azithromycin (30 mg/kg single dose), penicillin G (1.2 million units IM).","Darkfield microscopy, serologic tests (VDRL).","Skin sores, bone pain, wartlike growths.","Azithromycin (30 milligrams/kg single dose), penicillin G (1.2 million units IM). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
